,CID,SID,target
86,2358108,332908026,0
87,126465365,333069341,0
88,126459487,333035108,0
89,5292150,333409659,0
90,45229439,333054110,0
91,1594658,333361769,0
92,1259150,333179612,0
93,2983572,333178112,0
94,126457162,332971869,0
95,1081743,333238930,0
96,5331640,333080627,1
97,56724437,333493128,1
98,2946102,333146342,0
99,3121246,333189970,0
100,45194681,333068164,0
101,20975249,332970761,0
102,645208,333383463,0
103,23964254,333307060,1
104,5072276,333441698,0
105,16647236,333483766,0
106,3200459,333214551,0
107,6535185,333426041,1
108,6510893,333300258,0
109,18590065,332897921,0
110,2352994,332906923,0
111,709560,333376543,0
112,2920974,333406636,0
113,126472402,333258541,1
114,52998149,333356854,0
115,1298580,333156171,0
116,3101120,333319818,0
117,2160220,332997303,0
118,4962173,332941932,0
119,1183008,333099104,0
120,2238238,333178880,1
121,2522488,332935374,0
122,751284,332982871,0
123,5310221,332890637,1
124,46260760,333030830,1
125,135468357,333225138,1
126,46370904,333448125,0
127,117079343,310287531,1
128,4174536,333389811,0
129,5044734,333431564,0
130,126465020,333070509,0
131,126479128,333435580,0
132,45191153,333045529,0
133,2968200,333166748,0
134,20098684,333025617,0
135,45929321,333064729,0
136,117092916,310301971,0
137,43815974,333232364,0
138,2910537,333363947,0
139,4086437,333457923,0
140,23766340,333400961,0
141,710578,332956541,0
142,4207019,333469275,1
143,3773766,333185760,1
144,2835200,333077744,0
145,4848840,332944637,0
146,30463386,333489472,1
147,4536120,333349067,0
148,4303276,332965561,0
149,126475183,333257147,0
150,6898474,333078536,1
151,622365,333409624,0
152,1535421,333380247,0
153,3675072,333469600,0
154,27444771,321947709,0
155,3231426,333224953,0
156,117090797,310299738,0
157,2159315,332881571,0
158,83290830,333298046,0
159,44236972,310283824,0
160,126479674,333460006,0
161,1142501,333377263,0
162,1085997,333347461,0
163,317081,333133015,0
164,3275151,332930512,0
165,4637427,333310203,1
166,1371448,333235807,0
167,3103594,333192865,0
168,813717,333238577,0
169,3229535,333209298,0
170,1978920,333475999,0
171,4217991,333022678,0
172,15606534,333278668,0
173,2864789,333300989,1
174,1543584,332912067,0
175,746656,333367530,0
176,1841673,333178891,0
177,126475116,333256391,0
178,3164958,332992751,0
179,3158307,333244386,0
180,792848,333189967,0
181,4191709,332956413,0
182,2442631,332918370,1
183,653757,333201100,0
184,2413507,332915739,0
185,2189433,333073578,0
186,3157169,333243527,0
187,117091456,310300431,0
188,1136326,333236435,0
189,972071,333157723,0
190,42096993,333041535,0
191,22581396,332895222,0
192,3138979,333194038,1
193,26341519,333071981,0
194,724678,333138883,1
195,56765140,333493038,0
196,16807824,332891927,0
197,45182354,333064408,0
198,889805,333140030,0
199,2988490,333181058,1
200,4669483,332927204,1
201,1513308,332964524,0
202,1079294,333241279,0
203,698292,333367620,0
204,2994640,333183129,0
205,4607625,333439517,0
206,1242984,333168632,0
207,20908496,333037451,1
208,649638,333225421,1
209,126470598,333253848,0
210,2856012,333283472,0
211,16003582,333438502,1
212,2863545,333299351,0
213,4087170,333470454,0
214,3240868,333471235,1
215,117087469,310296216,0
216,7686445,333481772,0
217,3224556,333223214,0
218,664262,333028800,0
219,2367096,332916846,0
220,126475948,333266088,1
221,1612258,333366594,0
222,1251773,333173114,1
223,3752188,333381187,0
224,6897255,333096758,0
225,3511842,333436851,0
226,1216141,333304040,0
227,126476815,333343811,0
228,814517,333238718,0
229,2940618,333141196,1
230,24102496,333307880,0
231,16825648,332980010,0
232,1089637,333242605,0
233,5158449,332983263,0
234,2388996,332911792,0
235,46502470,332985871,1
236,44662784,333367585,1
237,2212366,333157832,0
238,2968467,333168046,0
239,2381454,332878676,0
240,2114889,332927385,0
241,126468876,333239093,0
242,3438037,333401968,0
243,7196729,332890154,0
244,10492061,406179003,1
245,23604446,332974131,0
246,6516462,333374234,0
247,3578494,333370891,0
248,99017,333194599,0
249,719267,333355809,0
250,3244521,333470069,0
251,2338381,333266776,0
252,654628,333209900,0
253,3247594,333466199,0
254,126463290,333066669,0
255,696535,333362840,1
256,6264404,332900327,0
257,9569677,333072902,0
258,2983021,333178147,0
259,45176619,333043025,1
260,49657952,321947143,1
261,577746,332913050,0
262,2216242,333160219,0
263,879989,333109052,1
264,2967029,333165611,0
265,117091418,310300393,0
266,2971886,333170944,0
267,43981232,332896245,0
268,2974888,333173236,0
269,135400575,333074828,0
270,20890273,333015467,0
271,2901042,333114892,0
272,1212154,333328161,0
273,740900,333291844,0
274,2208095,333155249,0
275,4599083,333322308,0
276,46274723,333036297,1
277,126472858,333255694,0
278,3598246,333446937,0
279,2962839,333161477,0
280,2861546,333341070,0
281,4245978,333384312,0
282,135417065,333152464,1
283,126462700,333063341,0
284,2916259,333122780,1
285,4782745,332941756,0
286,1604569,333365965,0
287,117085692,310294310,0
288,802451,333125405,0
289,2949391,333149081,0
290,6443558,354331647,1
291,2897547,333406208,0
292,2959390,333158535,1
293,728485,333278104,0
294,2381367,332908931,0
295,4857991,332948792,0
296,3210000,333216127,0
297,10748,333473377,1
298,3125682,333299424,0
299,2178140,333098808,0
300,1909571,333098627,1
301,31125607,333121612,0
302,2104471,332886344,1
303,126474026,333256988,0
304,22330520,333343140,0
305,23825059,333342797,0
306,919612,333241128,0
307,3931303,332986033,0
308,1242695,333162510,0
309,2913075,333120855,1
310,3089175,333280692,0
311,25802804,333250472,0
312,4828796,332947250,0
313,18575068,332897615,0
314,3734657,333335938,0
315,1068750,333280758,0
316,2854094,333326329,0
317,4046825,333438537,0
318,126477417,333363586,0
319,54691366,332981410,0
320,5753417,333200155,0
321,18553639,332881143,0
322,1242506,333162166,1
323,2953033,333152239,0
324,20892920,333015400,0
325,1295004,333153620,1
326,30860516,333487684,0
327,20904605,333028053,0
328,2914325,333121397,0
329,2792661,333092851,0
330,3150551,333199983,0
331,2964137,333162079,0
332,3497329,333317238,0
333,2954794,333153330,0
334,42463689,333045734,0
335,3631043,332982907,0
336,1073712,333328707,0
337,3157159,333199545,0
338,846494,333238444,0
339,3125740,333386252,0
340,2327943,332903311,0
341,12004583,333201185,0
342,3093331,333277401,0
343,20873116,333011734,0
344,745091,333354875,0
345,126463348,333068227,0
346,5403692,333271657,0
347,4192016,333387685,0
348,18561482,332890002,0
349,46371302,333454657,0
350,1078124,333243583,0
351,117086405,310295082,0
352,2977300,333175071,0
353,23967651,333452644,0
354,5750165,333287861,0
355,1042338,333396211,0
356,117083498,310291964,0
357,22589621,333433735,1
358,5734139,333122345,0
359,736729,333281522,0
360,117086538,310295224,0
361,4269897,333260588,0
362,5068392,333459172,0
363,3231992,333209865,0
364,5056961,332882073,0
365,24792547,333230018,0
366,5339720,333087428,0
367,117074046,310283013,1
368,897112,333133170,0
369,2380210,332905182,0
370,45105879,332952965,0
371,56860832,333059648,1
372,1589988,333300725,0
373,4034245,333392872,0
374,699027,333370440,0
375,43815739,333230902,0
376,826106,321943522,0
377,23603548,333016159,0
378,16190803,333046152,0
379,3224443,333227751,0
380,4430342,333475878,0
381,5224750,332927775,0
382,4962637,332945608,0
383,3130376,333360105,0
384,1113977,333415136,0
385,52417983,333493501,1
386,1342381,333349350,0
387,1515706,333330238,0
388,4786017,332942847,0
389,1329886,333364886,1
390,696894,333364984,0
391,1266335,333167146,0
392,2516105,332932523,0
393,3362035,333021300,0
394,4112506,333440892,0
395,2930652,333132954,1
396,2323445,332899838,0
397,126462633,333061083,0
398,1430569,333225272,0
399,648628,333224291,0
400,46260474,332972993,1
401,6009970,332910015,0
402,1295227,333153449,0
403,2649320,332942075,0
404,2973953,333172598,0
405,3155359,333200766,0
406,1119345,333233474,0
407,135685843,332988539,0
408,2927013,333129186,0
409,1212749,333340260,1
410,117086389,310295066,1
411,5056678,333454374,0
412,4612081,333336655,0
413,4115925,333311732,0
414,6617136,333465831,0
415,2971310,333170172,0
416,2880296,333306846,0
417,3616243,332909528,0
418,1916520,332962547,0
419,117093604,310302708,0
420,42209011,333487950,0
421,2376707,332910964,0
422,1006898,333146741,0
423,2898572,333342212,0
424,4091367,333342885,1
425,5766206,333239056,0
426,117085037,310293618,1
427,20852202,332970257,0
428,4195124,333384390,0
429,135521908,333466688,0
430,5725125,333285583,0
431,117086935,310295646,0
432,135543509,332945656,0
433,86989824,310302223,1
434,9586635,333110070,1
435,3216756,333218966,0
436,6414041,333373014,0
437,3692658,332957509,0
438,20968510,333024006,0
439,17252893,332999799,0
440,9586372,333106546,0
441,677895,333279675,1
442,1444412,333207294,0
443,1449902,333226758,0
444,2965908,333164093,1
445,110244513,333228032,0
446,2549434,332936246,0
447,117091687,310300676,0
448,3600187,333365036,0
449,42397531,333112152,0
450,1104215,333288894,0
451,25046549,333452857,0
452,2405462,332914829,0
453,723243,333279976,0
454,4584439,333135397,0
455,1098783,333287459,0
456,2234055,333175449,1
457,964623,333146148,0
458,974086,333161263,1
459,45229703,333054737,0
460,117087574,310296330,0
461,126464165,333065373,0
462,5853865,333365888,0
463,37963766,333489832,1
464,1401,354331155,1
465,5382454,333106773,0
466,3125079,333241276,0
467,3611589,332925010,0
468,117077649,310286114,0
469,846645,333190182,0
470,3238781,333471421,0
471,3670172,333438817,0
472,42196731,333056111,0
473,2275459,333109135,0
474,117084652,310293201,0
475,3131864,333321931,0
476,2883053,333293853,0
477,4073777,333261520,1
478,45502851,333489933,0
479,1078367,333239552,1
480,1365340,333426507,0
481,895202,333145557,0
482,45227775,333111279,0
483,934937,333166614,0
484,1320973,333373072,0
485,16812993,333480806,0
486,44236950,310283569,1
487,9615849,332956195,1
488,3418281,333401736,0
489,675103,333279155,0
490,117079452,310287655,0
491,2463577,332936114,0
492,15997539,333418742,1
493,4123081,333443481,0
494,1417073,332887980,0
495,991886,333166908,0
496,953907,333244807,0
497,2996662,333183240,0
498,4230531,333009521,0
499,18590569,333362596,0
500,3210249,333203819,0
501,646639,333215350,0
502,23995381,333470162,0
503,135501481,333085815,0
504,4411718,332996470,0
505,9622660,332953968,0
506,2962765,333161322,1
507,135491536,333285691,0
508,135679472,332987840,0
509,2971982,333171304,0
510,1266401,333167576,1
511,4189102,333419830,0
512,2207442,333154296,0
513,1378870,333084044,0
514,3230442,333226810,0
515,135527859,333400471,0
516,4162902,332879310,0
517,3638799,332966351,0
518,2388135,332913146,0
519,2946247,333447711,0
520,54678703,333234155,1
521,4385338,333432131,0
522,1535206,333085551,0
523,44754117,333230386,0
524,4881215,332936022,1
525,817624,333112006,0
526,22553397,333027530,0
527,1185322,332955554,0
528,783234,333086977,0
529,4613258,333276360,0
530,56857516,333053430,0
531,5234323,333266854,0
532,9597766,332994560,0
533,913893,333242997,0
534,46271803,333033342,0
535,2443557,332922508,0
536,42510110,333051774,0
537,2233231,333175496,0
538,84387312,333253838,0
539,56855278,333048114,0
540,939234,333146545,0
541,654126,333207750,0
542,3105858,333277325,0
543,897037,333133184,1
544,4180709,333440413,0
545,3516229,333293232,0
546,4516437,333275796,0
547,1216874,333307148,0
548,3162331,333001791,0
549,16000424,333342839,0
550,2175085,333130819,1
551,3839042,332959862,1
552,4969662,332937905,0
553,5047436,333453617,0
554,117080959,310289262,0
555,718956,333274226,0
556,4640039,333434801,0
557,9551569,333016789,0
558,2565061,332940496,0
559,531430,333147020,0
560,1336353,333112209,0
561,5648733,333153761,0
562,2681944,332944924,0
563,17253308,333000261,1
564,4137689,332962831,0
565,117081803,310290144,0
566,859248,333216433,0
567,5283056,354331395,1
568,3154186,333241681,0
569,23986633,333494806,0
570,3260895,333316445,0
571,3064878,333402600,0
572,2204910,333153541,0
573,2244778,333085728,0
574,798657,333191158,0
575,3228757,333207446,0
576,2919059,333124075,0
577,7593480,333481458,0
578,1617876,333129381,0
579,46498508,333333370,0
580,3582644,333455369,0
581,3119640,333386274,1
582,45240751,333058031,0
583,2521858,332935008,0
584,22550766,333035882,1
585,4343425,332954054,0
586,16811537,332898364,0
587,771943,333425567,0
588,23604469,333016890,0
589,26363646,333184611,0
590,840227,333101554,0
591,4245160,333418452,0
592,71785059,333492546,0
593,3615131,332884939,1
594,3240169,333461455,0
595,17366912,333323248,0
596,4096726,333443763,0
597,15993887,332968002,0
598,3874559,332927510,0
599,2869680,333303918,0
600,1905132,333312273,0
601,2921052,333357881,1
602,18572601,332894632,1
603,5814331,333357831,0
604,2209442,333155772,0
605,2196718,333146541,0
606,5151253,333437141,0
607,918813,333154474,0
608,1252430,333174006,1
609,20966901,333445607,0
610,17312520,332969225,1
611,2245372,333075876,0
612,1033983,333107405,0
613,3741740,333185825,0
614,45202329,333047214,1
615,1433643,333223715,1
616,1013849,333127441,1
617,28955107,333066841,0
618,46370739,333447289,0
619,7150867,332891900,0
620,2941956,333142651,0
621,5710157,333327811,0
622,126461848,333054519,0
623,3163788,332881129,0
624,16889830,333486309,0
625,135398779,332975033,0
626,2894741,333110398,0
627,866369,333432471,1
628,45183800,333065117,0
629,9553382,332954753,0
630,1675017,332878264,0
631,1134636,333334886,0
632,1339238,333113359,1
633,3113782,333278270,0
634,2829635,333403530,0
635,1246577,333170230,0
636,661161,332956596,0
637,45238624,333056248,0
638,4164429,333001910,0
639,2482473,332922601,0
640,761213,333275517,0
641,4788150,332942164,0
642,4547882,333430365,0
643,619004,333405436,0
644,6619041,333419819,0
645,649314,333223179,0
646,602843,333410713,0
647,2941839,333142599,1
648,704512,333407042,0
649,20970688,333469998,0
650,5307788,332973186,0
651,2898986,333369828,0
652,1926906,333355713,0
653,2923378,333127087,1
654,15992772,333468254,0
655,3240677,333023066,0
656,595577,333265303,0
657,650353,333265386,0
658,135537485,333244260,0
659,2524126,332938255,1
660,135642362,332986691,1
661,15995818,333003548,0
662,117081383,310289704,0
663,1717310,333287803,0
664,2183830,333115686,0
665,4106717,333335752,0
666,1520151,333166715,1
667,46503241,333418025,1
668,126464357,333067598,0
669,5070142,332884420,1
670,3293528,332909635,0
671,3237270,333023976,0
672,5211690,333438630,0
673,16896332,333039239,0
674,95807561,333248318,0
675,2964529,333163845,0
676,2950751,333150504,1
677,44118178,333490394,1
678,2211455,333157910,1
679,24790286,333051307,0
680,45210293,333049362,1
681,3118633,333297354,0
682,16019245,333036416,0
683,2921534,333125095,0
684,5083212,333451408,1
685,17366893,333350838,1
686,2243608,333179783,0
687,2934002,333136074,0
688,876208,333099648,0
689,23663407,46386612,1
690,1290615,333130781,1
691,697254,333366890,0
692,5405337,332954545,0
693,1441905,333209006,1
694,126473687,333254771,0
695,46500777,333025924,0
696,16242560,332922909,0
697,126476950,333343920,0
698,47151066,333262177,0
699,12005541,333272142,0
700,5287320,333394599,0
701,5344241,333100338,0
702,6523798,333428094,1
703,20903982,333037713,0
704,126459770,333037729,1
705,2873712,333100071,0
706,52224351,354331318,0
707,117087669,310296432,0
708,46371163,333450682,1
709,126464503,333066536,1
710,4378833,332899056,0
711,2913526,333120219,0
712,6340114,333426122,0
713,16000073,333462329,0
714,25307016,333049822,0
715,1340647,333348723,0
716,16191959,333045731,0
717,5455951,332956542,0
718,5051530,333009552,0
719,135810899,332986948,0
720,20891540,333025957,0
721,1816731,333330060,0
722,648413,333215634,0
723,3139418,333233710,0
724,1548034,332899328,0
725,5715031,332877157,0
726,3245648,332981452,1
727,1433839,333208567,0
728,7267344,332896438,0
729,1347429,333117771,0
730,3130835,333235391,0
731,135468509,333297209,0
732,3282875,332993863,0
733,45191687,333067121,1
734,27543891,321948258,0
735,3122172,333233843,0
736,2197726,333147127,1
737,3593067,332956304,0
738,741303,333294340,0
739,1329690,333366477,0
740,15993100,333471013,1
741,719972,333358303,0
742,694734,333393755,0
743,5725534,333095863,0
744,976157,333149018,1
745,16671827,333251769,0
746,2948726,333148344,0
747,52998126,333356858,0
748,42392501,333057353,0
749,4677569,333082178,0
750,117094650,310303828,1
751,4291256,333392958,0
752,45238723,333056084,0
753,923830,333151412,0
754,3227274,333227618,1
755,1279667,333369486,0
756,5012841,333458412,0
757,8995606,333478078,0
758,21177687,333275082,0
759,1238509,333289364,1
760,6293358,333426618,0
761,1370625,333105410,0
762,135402188,333167295,0
763,1108498,333239857,0
764,4081434,332879045,0
765,16799559,332895408,0
766,2200727,333150456,0
767,745344,333269399,1
768,4371327,332930198,0
769,2402767,332911406,0
770,9584931,333074322,0
771,2923239,333126302,0
772,1356490,333307145,0
773,4525156,333466807,0
774,3117774,333232470,0
775,27622516,333485969,0
776,4519182,333334511,1
777,7243781,332894219,0
778,126476972,333344075,0
779,2969116,333167707,0
780,16188373,333043801,0
781,1360431,333102488,0
782,9664231,332988945,0
783,3605798,333453076,0
784,4248377,333316120,1
785,5716914,332958485,0
786,6259615,333363069,0
787,5292602,333413732,1
788,22334242,332996825,0
789,3109617,333282795,0
790,30853212,333041731,0
791,1158241,333366167,0
792,2955560,333154198,0
793,5073260,333439760,0
794,45928768,333040722,0
795,5053240,333468794,1
796,135719838,333212669,0
797,5712481,332899297,0
798,6279188,332907897,0
799,45194541,333045178,0
800,1316121,333364747,0
801,1035619,333382855,0
802,6905283,332916816,0
803,4912957,333475392,0
804,4693273,332885046,1
805,2053611,333092325,0
806,20970571,333024759,0
807,4020003,333272916,0
808,1673829,333290402,0
809,117078919,310287071,1
810,2838156,333397633,0
811,126456798,332948908,0
812,728106,333369119,1
813,3205509,333214310,1
814,2984246,333179860,0
815,2256146,333094978,0
816,658847,332879430,0
817,2407516,332911724,0
818,703068,333404869,0
819,798529,333122835,0
820,1290383,333375693,0
821,1039201,332883019,0
822,46498639,333339039,0
823,1341352,333110811,0
824,5286698,333289463,0
825,2994780,333183786,0
826,6623306,333014945,1
827,3120139,333392920,0
828,1247534,333170790,0
829,45192526,333045866,0
830,46370444,333436823,0
831,5063523,333427659,0
832,6092699,333365178,1
833,2464401,332923267,0
834,9594313,333232273,1
835,3228353,333227418,0
836,1095402,333285285,0
837,126474717,333256867,0
838,22514530,333033116,0
839,1926836,333359749,0
840,126459632,333038817,1
841,2847281,333283720,0
842,4608324,333436110,1
843,24793463,333213662,0
844,117078977,310287136,0
845,2792910,333175233,0
846,1454960,333220038,1
847,42585236,333484167,0
848,4575882,333409279,0
849,3588554,333438369,0
850,2377163,332905232,1
851,223050,333262215,1
852,20851400,333003801,0
853,44051545,333486402,0
854,135490109,333378898,0
855,1911167,333328868,0
856,3133729,333310309,0
857,136245322,333489821,0
858,885016,333116178,0
859,45234939,333137217,0
860,3324313,333266310,0
861,3213590,333215557,0
862,941428,333198465,0
863,2897774,333339295,0
864,2510835,332880366,0
865,5073401,333447937,0
866,5260605,333185253,0
867,24023454,333449040,0
868,5292487,333413172,0
869,4649562,333449145,0
870,3226038,333225329,0
871,5285820,333287328,0
872,4321790,333458269,0
873,4990145,333316273,1
874,775401,333295381,0
875,4531377,332960536,0
876,20885972,333030139,0
877,45169124,333060301,0
878,3244441,333003747,0
879,117076981,310285500,1
880,53298166,333011853,0
881,18590194,332898211,0
882,1277924,333325582,0
883,5096371,333462682,0
884,3236871,333275877,0
885,43815343,333213041,0
886,15996033,332996311,0
887,653548,333191351,1
888,46274775,333037092,1
889,2921617,333125233,1
890,3297198,333396738,0
891,1762479,333139268,0
892,3237573,333013763,0
893,126470270,333253754,0
894,70713638,333043133,1
895,117087541,310296295,0
896,3132209,333323882,0
897,4310204,333309221,0
898,646976,333218024,0
899,9599902,332954842,0
900,1163268,333200978,0
901,5212298,333403855,0
902,707663,332965588,0
903,12004965,333359237,0
904,7195549,332890704,0
905,2930054,333132882,0
906,5310759,333359695,0
907,19631669,332985625,1
908,2842940,333083438,0
909,811673,333361207,0
910,666728,332891216,0
911,117075064,310283830,0
912,1558226,333474992,0
913,4797601,332945598,1
914,545421,333405919,0
915,1379085,333083129,0
916,30867708,333488727,1
917,126472390,333254347,0
918,5735673,333127435,0
919,52906547,333490325,0
920,2862021,333094519,0
921,1098135,333237009,0
922,7498564,333476720,0
923,4360533,333270362,0
924,1043578,333407167,0
925,117088324,310297134,1
926,7207913,332893538,1
927,4040683,321946445,0
928,3148561,333191423,0
929,6619879,332973249,0
930,3561044,333365354,0
931,6870906,332985340,0
932,845165,333201611,0
933,664817,332997811,1
934,4071627,333441863,0
935,126469597,333251692,1
936,135446568,333091549,0
937,2996615,333183673,0
938,135438739,333354649,0
939,117082129,310290499,0
940,20876378,333029242,1
941,5141635,333431659,0
942,746779,333265036,1
943,7304354,333132548,0
944,2235212,333176207,0
945,17366557,333323173,0
946,5168238,333273536,0
947,5309751,332983455,1
948,12072307,333370729,0
949,117084876,310293441,1
950,4293237,332886719,0
951,45180206,333064975,0
952,6006794,333312727,0
953,1119370,333282881,0
954,46271345,333017445,0
955,743231,333323953,0
956,705201,333157808,0
957,2189534,333081749,1
958,2863635,333299545,0
959,1316175,333145026,1
960,1531868,333461716,0
961,6821,333266789,0
962,3232035,333209820,0
963,647460,321944297,0
964,5077718,333261519,1
965,3436783,333339895,0
966,3916069,333400302,0
967,126462381,333062369,0
968,2834421,333275141,0
969,18573866,333479826,0
970,135483304,332952074,1
971,5056641,333455848,0
972,4038769,332963985,0
973,126457196,332973935,0
974,2172801,333072498,0
975,6604711,333472496,0
976,619933,333100963,0
977,858025,333214762,0
978,4456143,333278611,0
979,1304867,333138679,0
980,4461496,333421557,0
981,4080310,332980196,0
982,1252863,333167060,1
983,20861457,332951635,0
984,53207410,333015441,0
985,42421279,333181841,1
986,16760078,333494605,0
987,3453503,333449121,0
988,46374931,333468769,0
989,1342038,333114366,1
990,135936473,332998933,0
991,2851907,333275439,0
992,45208348,333049876,0
993,729909,332956531,0
994,117092988,310302044,0
995,717997,332913650,1
996,16926609,333477945,0
997,682204,333280020,0
998,15995487,333461184,0
999,3223658,333221110,0
1000,54681811,333266379,0
1001,95639,333073500,0
1002,6870304,332984049,0
1003,6504839,333288548,0
1004,1560473,332883015,0
1005,45206271,333048281,1
1006,25457587,333053237,0
1007,45238633,333157659,0
1008,90485197,333039937,0
1009,3439006,333446379,0
1010,655882,333221899,0
1011,4200696,333437120,0
1012,5346061,333102309,0
1013,3783609,332902028,0
1014,22332037,332992208,0
1015,20902636,333476629,1
1016,2364215,332916348,0
1017,1451890,333224963,0
1018,2921232,333125951,0
1019,1954908,332990967,0
1020,1289333,333150254,0
1021,28331380,333097884,0
1022,117090158,310299069,1
1023,126471386,333253799,0
1024,22587976,333429300,0
1025,25890484,333487256,0
1026,9549468,333194114,1
1027,17757049,333420237,0
1028,2955190,333154904,0
1029,45171981,333041882,0
1030,1087798,333241356,0
1031,45540417,333489064,1
1032,2881937,333307969,1
1033,2839171,333080892,0
1034,112881816,310288206,0
1035,126456775,332950001,0
1036,3746885,333185937,0
1037,823493,333374236,1
1038,2908490,333360816,0
1039,20880520,333012077,0
1040,1332950,333437658,0
1041,1367291,333107873,1
1042,45168372,333040919,0
1043,3888675,333289357,0
1044,135442316,332903477,0
1045,95797916,333228824,0
1046,45187710,333066697,0
1047,9615875,332984335,0
1048,3423839,333263543,1
1049,1304858,333429862,0
1050,1244233,333169745,0
1051,28221832,333078567,0
1052,71779964,333486554,1
1053,3925990,332924345,0
1054,6059317,332991064,0
1055,45230852,333054873,1
1056,3274111,333427029,0
1057,2976733,333174840,0
1058,16810933,333480613,0
1059,4064931,333454818,0
1060,738079,333330575,0
1061,1454747,333207910,0
1062,5292771,333414671,0
1063,46254332,333006009,0
1064,135558499,332987485,0
1065,13728624,333009973,0
1066,117077882,310286286,0
1067,3529334,333024711,1
1068,16191354,333056983,0
1069,342434,333085263,1
1070,135489770,333197324,0
1071,8151427,332948354,1
1072,783959,333087784,1
1073,801053,333124321,0
1074,6415381,333380469,0
1075,41109050,333477707,0
1076,732005,333200850,0
1077,1010592,333340654,0
1078,679173,332979159,1
1079,648951,333215744,0
1080,5132152,332916023,0
1081,1258356,333098889,1
1082,49858929,333494540,0
1083,16187688,333042213,0
1084,21213939,333349190,0
1085,117087477,310296225,0
1086,24731701,333260228,0
1087,46500225,332960601,0
1088,25047098,333331291,0
1089,117081044,310289350,0
1090,7161329,333480939,1
1091,44754359,333229447,1
1092,2296999,333268497,0
1093,17253216,332968533,0
1094,2176202,333130210,1
1095,1895792,333364027,0
1096,3648840,333467509,0
1097,3712438,333121116,0
1098,1241988,333163393,0
1099,2897731,333313446,0
1100,734033,333198323,0
1101,87323,333263611,0
1102,3607080,332887522,1
1103,1772388,332961380,1
1104,9630635,332985478,0
1105,20858995,332983149,0
1106,1342359,333350352,0
1107,2206374,333153699,0
1108,2292846,333124769,0
1109,1096740,333245797,0
1110,3115421,333237598,1
1111,3140581,333303160,0
1112,1084713,333200269,0
1113,9590511,333190494,0
1114,15995609,333417485,0
1115,3497281,333403743,0
1116,2975929,333174552,1
1117,2859493,333094866,0
1118,18774539,332899926,1
1119,2923732,333127976,1
1120,4611257,333453833,0
1121,701963,333402799,0
1122,2125683,332928699,1
1123,2876195,333340297,0
1124,3134062,333311338,1
1125,16000361,333449999,0
1126,2856289,333283576,0
1127,1295001,333136600,0
1128,117076210,310284851,0
1129,42415200,333044849,0
1130,4843068,332941696,0
1131,6897608,333076801,0
1132,797920,333122822,0
1133,126468321,333211621,0
1134,16010603,333029273,1
1135,684122,333385830,1
1136,878348,333103263,0
1137,976463,333149977,0
1138,4054118,333466463,1
1139,5108286,333271026,0
1140,17019745,332993857,0
1141,4436726,333366602,0
1142,749415,333265407,1
1143,4250276,333416486,0
1144,5182944,333411152,0
1145,44444013,310283932,0
1146,23819302,333465106,1
1147,45216725,333051750,0
1148,5291189,333402950,0
1149,754136,333079027,0
1150,90484830,333396611,0
1151,5046491,333436596,0
1152,54722197,332965432,0
1153,22520077,333018534,0
1154,20861661,333007152,0
1155,2996037,333184003,0
1156,18578009,333480579,0
1157,4388646,333436980,0
1158,20917604,333027486,0
1159,18577573,333480028,0
1160,6139101,333021775,0
1161,90667124,310285906,1
1162,9600689,332995834,0
